"Qty";"Value";"Device";"Package";"Parts";"Description";"";
"1";"";"CAP0603-CAP";"0603-CAP";"C1";"Capacitor";"";
"5";"0";"RESISTOR0603-RES";"0603-RES";"GPO5, GPO13, MOSI, R2, TXD";"Resistor";"";
"1";"10K";"RESISTOR0603-RES";"0603-RES";"R4";"Resistor";"";
"1";"220";"RESISTOR0603";"0603-RES";"R6";"Resistor";"";
"1";"33K";"RESISTOR0603";"0603-RES";"R3";"Resistor";"";
"1";"3K3";"RESISTOR0603";"0603-RES";"R5";"Resistor";"";
"1";"500";"RESISTOR0603";"0603-RES";"R1";"Resistor";"";
"1";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_TRRSSMD_RA";"AUDIO_JACK_3.5MM_TRRS_SMD_RA";"MIDI_OUT";"Audio Jack - 3.5mm TRRS (SMD)";"";
"1";"FEATHERWING";"FEATHERWING";"FEATHERWING";"MS1";"";"";
"4";"FIDUCIALUFIDUCIAL";"FIDUCIALUFIDUCIAL";"MICRO-FIDUCIAL";"FID1, FID2, FID3, FID4";"Fiducial Alignment Points";"";
"1";"GREEN-0603";"SMD-LED-CLEAR-GREEN(0603)";"LED-0603";"LED";"304090043";"";
"3";"MMBT3904";"MMBT3904";"SOT23-BEC";"Q1, Q2, Q3";"";"";
"1";"OSHW_LOGO_SYMM";"OSHW_LOGO_SYMM";"OSHW_LOGO_MED_SYM";"U$100";"OSHW_LOGO_SYM";"";
"1";"PA_LOGO_SYMLARGE";"PA_LOGO_SYMLARGE";"PA_LOGO_AGENT_LRG_SYM";"U$1";"PatternAgents Logo Symbol";"";
